# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
bi jiao 	比較	c=2 d=0.018968 t=8422
bi jiao jin 	比較緊	c=1 d=0.0191587 t=8422
bi jiao man yi 	比較滿意	c=1 d=4.00653e-05 t=8422
bi jing 	畢竟	c=1 d=1.12321e-14 t=8422
bi li 	比例	c=1 d=2.15009e-07 t=8422
bi li de 	比例的	c=1 d=2.16087e-06 t=8422
bi mian 	避免	c=3 d=1.07511 t=8422
bi mian shi yong 	避免使用	c=1 d=0.519442 t=8422
bi yao 	必要	c=2 d=0.628292 t=8422
bi yao shi 	必要時	c=1 d=3.39827e-09 t=8422
bi ye 	畢業	c=0 d=0.0373439 t=8422
bi ye lun wen 	畢業論文	c=3 d=3.18409e-05 t=8422
bi ye she ji 	畢業設計	c=1 d=6.12835e-05 t=8422
bi ye sheng 	畢業生	c=1 d=7.56041e-05 t=8422
bi ye shi xi 	畢業實習	c=4 d=0.781882 t=8422
bi zhi 	壁紙	c=0 d=1.79682e-13 t=8422
bian de 	變得	c=1 d=4.39743e-12 t=8422
bian ji 	邊際	c=1 d=1.17168e-11 t=8422
bian jie 	邊界	c=2 d=0.0138768 t=8422
bian ju 	編劇	c=1 d=0.0728029 t=8422
bian li 	便利	c=1 d=4.22645e-16 t=8422
bian li 	遍歷	c=3 d=0.000460273 t=8422
bian liang 	變量	c=1 d=4.30816e-06 t=8422
bian ma 	編碼	c=4 d=0.00509193 t=8422
bian su 	變速	c=1 d=3.03013e-13 t=8422
bian su qi 	變速器	c=1 d=2.2787e-13 t=8422
bian wei 	變爲	c=1 d=3.45594e-06 t=8422
bian wei tou ming 	變爲透明	c=1 d=3.3138e-07 t=8422
bian xie 	編寫	c=1 d=0.000519931 t=8422
bian xing 	變形	c=1 d=0.279431 t=8422
bian xing jin gang 	變形金剛	c=1 d=0.275271 t=8422
bian yu 	便於	c=2 d=0.00678634 t=8422
bian yuan 	邊緣	c=2 d=0.182873 t=8422
biao da 	表達	c=1 d=2.96347e-16 t=8422
biao dian fu hao 	標點符號	c=1 d=1.71688e-06 t=8422
biao ge 	表格	c=1 d=2.97681e-10 t=8422
biao ji 	標記	c=1 d=0.0347357 t=8422
biao ji xun lian liang 	標記訓練量	c=1 d=0.348192 t=8422
biao ming 	表明	c=1 d=0.000129737 t=8422
biao qian 	標籤	c=8 d=0.00697167 t=8422
biao qian ji he 	標籤集合	c=1 d=2.33559e-09 t=8422
biao qian xin xi 	標籤信息	c=1 d=2.15602e-09 t=8422
biao qing 	表情	c=1 d=1.0527e-16 t=8422
biao shi 	標識	c=2 d=2.47652e-07 t=8422
biao shi 	表示	c=9 d=0.60502 t=8422
biao shi cheng wei 	表示成爲	c=1 d=6.49161e-06 t=8422
biao shi hou 	表示後	c=1 d=5.61539e-06 t=8422
biao shu 	表述	c=2 d=4.00493e-06 t=8422
biao ti 	標題	c=2 d=0.000103081 t=8422
biao yan 	表演	c=1 d=0.0236356 t=8422
biao zhu 	標註	c=1 d=4.8365e-14 t=8422
biao zhun 	標準	c=7 d=0.0192376 t=8422
biao zhun hua 	標準化	c=1 d=0.0270518 t=8422
bie 	別	c=1 d=2.51057e-07 t=8422
bie de 	別的	c=2 d=0.618783 t=8422
bie ren 	別人	c=0 d=2.30521e-15 t=8422
